,episode,timesteps,penalties,score
0,0,473,88,-1244
1,1,1041,163,-2487
2,2,848,70,-1457
3,3,1339,145,-2623
4,4,454,17,-586
5,5,908,23,-1094
6,6,389,71,-1007
7,7,870,38,-1191
8,8,885,129,-2025
9,9,672,36,-975
10,10,966,37,-1278
11,11,926,161,-2354
12,12,371,54,-836
13,13,640,26,-853
14,14,1031,34,-1316
15,15,460,12,-547
16,16,336,7,-378
17,17,337,10,-406
18,18,1146,38,-1467
19,19,761,38,-1082
20,20,917,65,-1481
21,21,354,30,-603
22,22,696,18,-837
23,23,862,51,-1300
24,24,842,31,-1100
25,25,598,23,-784
26,26,363,18,-504
27,27,585,32,-852
28,28,471,35,-765
29,29,745,24,-940
30,30,790,41,-1138
31,31,410,13,-506
32,32,153,6,-186
33,33,776,45,-1160
34,34,279,12,-366
35,35,621,21,-789
36,36,501,38,-822
37,37,276,12,-363
38,38,680,14,-785
39,39,287,10,-356
40,40,638,34,-923
41,41,424,12,-511
42,42,389,28,-620
43,43,455,20,-614
44,44,634,32,-901
45,45,157,2,-154
46,46,125,5,-149
47,47,324,16,-447
48,48,726,22,-903
49,49,1067,56,-1550
50,50,60,2,-57
51,51,415,15,-529
52,52,363,11,-441
53,53,427,22,-604
54,54,282,4,-297
55,55,591,18,-732
56,56,332,9,-392
57,57,372,17,-504
58,58,365,12,-452
59,59,295,8,-346
60,60,342,14,-447
61,61,337,10,-406
62,62,496,9,-556
63,63,270,12,-357
64,64,375,15,-489
65,65,265,8,-316
66,66,284,9,-344
67,67,291,8,-342
68,68,494,20,-653
69,69,339,12,-426
70,70,374,13,-470
71,71,225,9,-285
72,72,213,5,-237
73,73,217,14,-322
74,74,638,19,-788
75,75,244,6,-277
76,76,249,8,-300
77,77,205,8,-256
78,78,464,17,-596
79,79,32,0,-11
80,80,231,8,-282
81,81,280,9,-340
82,82,231,5,-255
83,83,386,13,-482
84,84,204,4,-219
85,85,194,3,-200
86,86,312,10,-381
87,87,409,17,-541
88,88,264,9,-324
89,89,187,12,-274
90,90,334,4,-349
91,91,106,1,-94
92,92,199,10,-268
93,93,388,9,-448
94,94,27,1,-15
95,95,118,5,-142
96,96,211,5,-235
97,97,155,5,-179
98,98,157,5,-181
99,99,312,10,-381
100,100,131,4,-146
101,101,239,6,-272
102,102,424,17,-556
103,103,112,1,-100
104,104,232,12,-319
105,105,170,5,-194
106,106,403,16,-526
107,107,116,6,-149
108,108,240,7,-282
109,109,251,10,-320
110,110,237,12,-324
